Hull,Fn,leeway,heel,Xnd,Ynd,Nnd
1,0.126,0,0,0.007174899,0,0
1,0.126,3,0,0.007402649,0.002667988,0.00711171
1,0.126,4,0,0.007567265,0.003917537,0.009406314
1,0.126,5,0,0.00781841,0.005356048,0.011676497
1,0.126,6,0,0.008149972,0.007095964,0.013885442
1,0.126,7,0,0.008532426,0.008982033,0.016094147
1,0.126,9,0,0.009550747,0.013020462,0.020609641
1,0.168,0,0,0.008319994,0,0
1,0.168,3,0,0.008482649,0.003008373,0.007155076
1,0.168,4,0,0.008677833,0.004511957,0.009440579
1,0.168,5,0,0.009006323,0.00628138,0.011708801
1,0.168,6,0,0.009381676,0.008115047,0.013941367
1,0.168,7,0,0.009761942,0.009952336,0.016186212
1,0.168,9,0,0.010920117,0.014202284,0.020735993
1,0.21,0,0,0.010990172,0,0
1,0.21,3,0,0.011147839,0.003469273,0.007235304
1,0.21,4,0,0.011209434,0.005085395,0.009569765
1,0.21,5,0,0.01150059,0.00703858,0.011845866
1,0.21,6,0,0.012110952,0.009083587,0.014125099
1,0.21,7,0,0.012677302,0.011407737,0.016340669
1,0.21,9,0,0.01376761,0.016280444,0.020850511
1,0.126,0,10,0.007298862,0.000773506,0.001136255
1,0.126,3,10,0.007585063,0.003174296,0.008387673
1,0.126,4,10,0.00780213,0.00442992,0.010786471
1,0.126,5,10,0.008101696,0.00586796,0.01317615
1,0.126,6,10,0.008455414,0.007487387,0.015553001
1,0.126,7,10,0.008875857,0.009221437,0.017940183
1,0.126,9,10,0.009937762,0.013141485,0.02282622
1,0.168,0,10,0.008405079,0.000598162,0.001074379
1,0.168,3,10,0.00876069,0.003468939,0.008342871
1,0.168,4,10,0.008999865,0.004929401,0.010731546
1,0.168,5,10,0.009325615,0.006620273,0.013109468
1,0.168,6,10,0.009440111,0.006455329,0.013108911
1,0.168,7,10,0.01021596,0.010318815,0.017861404
1,0.168,9,10,0.01136288,0.014463077,0.022758643
1,0.21,0,10,0.01112964,0.00022306,0.001027934
1,0.21,3,10,0.011612447,0.003623817,0.00839366
1,0.21,4,10,0.011843056,0.005235811,0.010805762
1,0.21,5,10,0.012110327,0.00699575,0.013183678
1,0.21,6,10,0.012610686,0.009098781,0.015596094
1,0.21,7,10,0.013145867,0.01130485,0.017963469
1,0.21,9,10,0.014358767,0.016300405,0.022822487
1,0.126,0,20,0.007948391,0.001486807,0.00194632
1,0.126,3,20,0.008482607,0.004087452,0.009466999
1,0.126,4,20,0.008807197,0.005381888,0.011980725
1,0.126,5,20,0.009188956,0.006973688,0.014483796
1,0.126,6,20,0.009683443,0.008848849,0.016990656
1,0.126,7,20,0.010176498,0.010763547,0.019531651
1,0.126,9,20,0.011592803,0.016130627,0.0245118
1,0.168,0,20,0.009124224,0.001182624,0.001863201
