run,	sumSy,	100 sections
	,	,	68.31, 66.93, 65.55, 64.17, 62.79, 61.41, 60.03, 58.65, 57.27, 55.89, 54.51, 53.13, 51.75, 50.37, 48.99, 47.61, 46.23, 44.85, 43.47, 42.09, 40.71, 39.33, 37.95, 36.57, 35.19, 33.81, 32.43, 31.05, 29.67, 28.29, 26.91, 25.53, 24.15, 22.77, 21.39, 20.01, 18.63, 17.25, 15.87, 14.49, 13.11, 11.73, 10.35, 8.97, 7.59, 6.21, 4.83, 3.45, 2.07, 0.69, -0.69, -2.07, -3.45, -4.83, -6.21, -7.59, -8.97, -10.35, -11.73, -13.11, -14.49, -15.87, -17.25, -18.63, -20.01, -21.39, -22.77, -24.15, -25.53, -26.91, -28.29, -29.67, -31.05, -32.43, -33.81, -35.19, -36.57, -37.95, -39.33, -40.71, -42.09, -43.47, -44.85, -46.23, -47.61, -48.99, -50.37, -51.75, -53.13, -54.51, -55.89, -57.27, -58.65, -60.03, -61.41, -62.79, -64.17, -65.55, -66.93, -68.31


FS_1_126_0, 102.267, -0.473, 3.378, 5.086, 5.735, 5.721, 4.877, 3.997, 3.365, 2.912, 2.425, 2.149, 1.864, 1.587, 1.501, 1.413, 1.237, 1.126, 1.082, 1.125, 1.152, 1.114, 1.136, 1.1, 1.066, 1.032, 1.001, 0.986, 0.998, 0.998, 0.948, 0.923, 0.894, 0.863, 0.838, 0.827, 0.831, 0.797, 0.775, 0.755, 0.736, 0.737, 0.724, 0.704, 0.687, 0.674, 0.661, 0.646, 0.624, 0.6, 0.585, 0.585, 0.601, 0.626, 0.644, 0.639, 0.607, 0.563, 0.528, 0.521, 0.547, 0.593, 0.633, 0.644, 0.618, 0.562, 0.506, 0.477, 0.479, 0.517, 0.573, 0.615, 0.618, 0.597, 0.566, 0.544, 0.511, 0.503, 0.518, 0.521, 0.533, 0.556, 0.581, 0.585, 0.482, 0.383, 0.361, 0.504, 0.746, 0.792, 0.634, 0.536, 0.432, 0.386, 0.402, 0.331, 0.38, 0.344, 0.22, 0.201, -0.103
FS_1_126_3, 1440.674, -8.037, 21.186, 24.867, 24.087, 22.726, 21.924, 21.485, 21.708, 22.292, 22.564, 22.635, 22.277, 21.538, 20.85, 20.253, 19.858, 19.711, 19.716, 19.713, 19.552, 19.228, 18.726, 18.141, 17.515, 16.908, 16.442, 16.136, 15.885, 15.713, 15.489, 15.314, 15.016, 14.698, 14.307, 13.913, 13.542, 13.238, 13.011, 12.878, 12.79, 12.699, 12.645, 12.404, 12.229, 12.034, 11.759, 11.632, 11.545, 11.531, 11.606, 11.696, 11.742, 11.737, 11.656, 11.518, 11.399, 11.325, 11.331, 11.427, 11.563, 11.71, 11.817, 11.86, 11.857, 11.811, 11.762, 11.811, 11.975, 12.239, 12.603, 13.012, 13.426, 13.709, 13.903, 14.019, 13.987, 13.935, 13.842, 13.686, 13.499, 13.178, 12.829, 12.422, 11.959, 11.598, 11.42, 11.619, 11.977, 12.185, 12.335, 12.42, 12.249, 12.25, 12.309, 12.508, 12.698, 12.494, 11.895, 10.566, 8.022
FS_1_126_4, 1924.724, -5.477, 30.756, 33.527, 31.835, 29.929, 28.633, 28.076, 28.427, 29.072, 29.457, 29.556, 29.1, 28.279, 27.479, 26.827, 26.459, 26.42, 26.508, 26.596, 26.431, 26.034, 25.384, 24.626, 23.785, 23.034, 22.406, 21.956, 21.655, 21.325, 21.106, 20.786, 20.459, 19.985, 19.531, 18.975, 18.562, 18.14, 17.901, 17.743, 17.667, 17.594, 17.556, 17.312, 17.093, 16.866, 16.555, 16.407, 16.314, 16.33, 16.452, 16.568, 16.599, 16.556, 16.42, 16.218, 16.05, 15.93, 15.884, 15.937, 16.022, 16.111, 16.163, 16.129, 16.045, 15.925, 15.797, 15.768, 15.876, 16.11, 16.468, 16.897, 17.358, 17.657, 17.852, 17.914, 17.791, 17.678, 17.459, 17.266, 17.008, 16.644, 16.22, 15.742, 15.237, 14.886, 14.738, 15.001, 15.411, 15.644, 15.848, 15.885, 15.671, 15.546, 15.466, 15.564, 15.568, 15.185, 14.263, 12.495, 8.826
FS_1_126_5, 2407.011, -1.951, 40.729, 42.232, 39.845, 37.468, 35.783, 34.913, 35.114, 35.902, 36.383, 36.41, 35.814, 34.871, 33.87, 33.216, 32.964, 32.982, 33.186, 33.349, 33.177, 32.724, 32.009, 31.163, 30.19, 29.372, 28.705, 28.197, 27.927, 27.606, 27.425, 27.107, 26.786, 26.307, 25.846, 25.281, 24.864, 24.415, 24.197, 24.033, 24.004, 23.912, 23.854, 23.605, 23.302, 23.0, 22.619, 22.398, 22.219, 22.141, 22.154, 22.132, 22.002, 21.775, 21.429, 21.0, 20.622, 20.31, 20.084, 19.975, 19.901, 19.822, 19.709, 19.501, 19.234, 18.951, 18.7, 18.569, 18.632, 18.845, 19.209, 19.657, 20.145, 20.46, 20.667, 20.721, 20.581, 20.446, 20.252, 20.03, 19.767, 19.372, 18.898, 18.371, 17.829, 17.507, 17.487, 17.944, 18.507, 18.81, 19.029, 19.047, 18.807, 18.609, 18.398, 18.215, 17.877, 17.186, 15.898, 13.657, 8.813
FS_1_126_6, 2817.221, 2.435, 50.306, 50.766, 47.637, 44.57, 42.518, 41.675, 41.889, 42.731, 43.236, 43.305, 42.725, 41.728, 40.558, 39.697, 39.446, 39.603, 39.853, 40.099, 40.043, 39.632, 38.886, 38.039, 37.097, 36.232, 35.555, 35.076, 34.826, 34.663, 34.533, 34.322, 33.983, 33.537, 32.965, 32.308, 31.674, 31.096, 30.734, 30.438, 30.257, 29.929, 29.587, 29.016, 28.309, 27.604, 26.856, 26.307, 25.83, 25.46, 25.18, 24.884, 24.499, 24.021, 23.437, 22.793, 22.231, 21.781, 21.46, 21.295, 21.178, 21.05, 20.91, 20.692, 20.424, 20.166, 19.958, 19.866, 19.997, 20.296, 20.756, 21.299, 21.834, 22.152, 22.314, 22.28, 22.048, 21.852, 21.608, 21.36, 21.136, 20.812, 20.384, 19.938, 19.554, 19.403, 19.724, 20.525, 21.354, 21.904, 22.216, 22.208, 21.879, 21.544, 21.184, 20.742, 20.082, 18.956, 17.206, 14.702, 8.578
FS_1_126_7, 3141.209, 5.898, 60.038, 59.535, 55.023, 51.162, 48.779, 47.831, 48.216, 49.228, 49.913, 49.983, 49.296, 48.092, 46.763, 45.946, 45.788, 46.037, 46.433, 46.856, 46.904, 46.623, 45.977, 45.141, 44.266, 43.406, 42.74, 42.286, 41.931, 41.724, 41.384, 40.921, 40.203, 39.329, 38.283, 37.203, 36.135, 35.177, 34.364, 33.71, 33.176, 32.56, 31.921, 31.125, 30.182, 29.206, 28.237, 27.48, 26.859, 26.432, 26.129, 25.81, 25.399, 24.889, 24.263, 23.573, 22.961, 22.464, 22.104, 21.929, 21.835, 21.729, 21.59, 21.341, 20.999, 20.644, 20.325, 20.117, 20.086, 20.269, 20.647, 21.167, 21.738, 22.115, 22.332, 22.339, 22.142, 21.967, 21.787, 21.751, 21.777, 21.771, 21.703, 21.664, 21.667, 21.821, 22.444, 23.458, 24.402, 25.085, 25.462, 25.343, 24.787, 24.246, 23.686, 23.019, 22.092, 20.728, 18.807, 18.23, 6.877
FS_1_126_9, 3730.999, 10.428, 77.049, 74.755, 67.806, 62.832, 59.948, 59.242, 60.076, 61.688, 62.529, 62.396, 61.542, 60.287, 59.004, 58.183, 58.118, 58.627, 59.271, 59.84, 60.007, 59.773, 58.992, 57.851, 56.648, 55.471, 54.503, 53.799, 53.275, 52.825, 52.34, 51.436, 50.196, 48.548, 46.791, 44.882, 43.125, 41.494, 40.163, 39.061, 38.135, 37.251, 36.105, 34.85, 33.445, 31.89, 30.487, 29.343, 28.379, 27.649, 27.012, 26.308, 25.512, 24.623, 23.635, 22.64, 21.751, 21.014, 20.49, 20.176, 19.958, 19.725, 19.471, 19.213, 18.993, 18.837, 18.845, 19.082, 19.566, 20.308, 21.293, 22.504, 23.614, 24.492, 25.062, 25.375, 25.544, 25.818, 26.233, 26.778, 27.383, 27.794, 27.947, 27.907, 27.834, 27.978, 28.825, 29.932, 30.855, 31.382, 31.404, 30.774, 29.789, 29.124, 28.687, 28.323, 27.64, 26.443, 24.501, 25.482, 4.786
