ID	Description	Length	Beam	Draft	Cp	Cb	Cm	L_B	B_T	T_L	L_vol3	Cwp	AwpSw	Rb_T	Deadrise
1	Parent	138.000	18.000	6.500	0.764	0.719	0.942	7.667	2.769	0.047	6.095	0.883	0.666	0.615	0.000
2	T+	138.000	16.361	7.150	0.764	0.720	0.942	8.435	2.288	0.052	6.094	0.883	0.612	0.559	0.000
3	T-	138.000	19.997	5.850	0.763	0.719	0.942	6.901	3.418	0.042	6.097	0.882	0.721	0.684	0.000
4	Cp+	138.000	18.000	6.500	0.840	0.791	0.942	7.667	2.769	0.047	5.905	0.921	0.659	0.615	0.000
5	Cp-	138.000	18.000	6.500	0.689	0.649	0.942	7.667	2.769	0.047	6.309	0.861	0.680	0.615	0.000
6	Cm+	138.000	18.000	6.500	0.767	0.755	0.984	7.667	2.769	0.047	5.996	0.890	0.639	0.308	0.000
7	Cm-	138.000	18.000	6.500	0.768	0.671	0.874	7.667	2.769	0.047	6.240	0.874	0.692	0.923	0.000
8	T+Cp+	138.000	16.361	7.150	0.840	0.791	0.942	8.435	2.288	0.052	5.904	0.922	0.606	0.559	0.000
9	T+Cp-	138.000	16.361	7.150	0.689	0.649	0.942	8.435	2.288	0.052	6.306	0.862	0.626	0.559	0.000
10	T-Cp+	138.000	19.997	5.850	0.839	0.790	0.942	6.901	3.418	0.042	5.906	0.921	0.714	0.684	0.000
11	T-Cp-	138.000	19.997	5.850	0.688	0.648	0.942	6.901	3.418	0.042	6.312	0.860	0.735	0.684	0.000
12	T+Cm+	138.000	16.363	7.150	0.768	0.756	0.984	8.435	2.288	0.052	5.995	0.891	0.587	0.280	0.000
13	T+Cm-	138.000	16.342	7.150	0.769	0.672	0.874	8.444	2.286	0.052	6.238	0.876	0.636	0.839	0.000
14	T-Cm+	138.000	19.999	5.850	0.767	0.755	0.984	6.900	3.419	0.042	5.998	0.889	0.694	0.342	0.000
15	T-Cm-	138.000	19.973	5.850	0.768	0.671	0.874	6.909	3.414	0.042	6.242	0.874	0.749	1.026	0.000
16	Cp+Cm+	138.000	18.000	6.500	0.840	0.826	0.984	7.667	2.769	0.047	5.819	0.925	0.630	0.308	0.000
17	Cp+Cm-	138.000	18.000	6.500	0.840	0.734	0.874	7.667	2.769	0.047	6.056	0.912	0.689	0.923	0.000
18	Cp-Cm+	138.000	18.000	6.500	0.687	0.676	0.984	7.667	2.769	0.047	6.221	0.868	0.657	0.308	0.000
19	Cp-Cm-	138.000	18.000	6.500	0.689	0.602	0.874	7.667	2.769	0.047	6.471	0.832	0.695	0.923	0.000
20	T+Cp+Cm+	138.000	16.363	7.150	0.840	0.827	0.984	8.434	2.289	0.052	5.818	0.925	0.578	0.280	0.000
21	T+Cp+Cm-	138.000	16.342	7.150	0.840	0.734	0.874	8.444	2.286	0.052	6.055	0.914	0.634	0.839	0.000
22	T+Cp-Cm+	138.000	16.363	7.150	0.688	0.677	0.984	8.434	2.289	0.052	6.218	0.868	0.605	0.280	0.000
23	T+Cp-Cm-	138.000	16.342	7.150	0.689	0.602	0.874	8.444	2.286	0.052	6.468	0.834	0.639	0.839	0.000
24	T-Cp+Cm+	138.000	19.997	5.850	0.839	0.826	0.984	6.900	3.419	0.042	5.820	0.924	0.684	0.342	0.000
25	T-Cp+Cm-	138.000	19.997	5.850	0.840	0.734	0.874	6.909	3.414	0.042	6.057	0.913	0.746	1.026	0.000
26	T-Cp-Cm+	138.000	19.997	5.850	0.686	0.675	0.984	6.900	3.419	0.042	6.224	0.866	0.711	0.342	0.000
27	T-Cp-Cm-	138.000	19.997	5.850	0.688	0.601	0.874	6.909	3.414	0.042	6.473	0.832	0.752	1.026	0.000
28	Cm-5%	138.000	18.000	6.500	0.725	0.683	0.942	7.666	2.769	0.047	6.199	0.861	0.668	0.615	0.000
29	Cm+5%	138.000	18.000	6.500	0.765	0.694	0.907	7.667	2.768	0.047	6.166	0.879	0.681	0.769	0.000
30	Cp-5% 	138.000	18.000	6.500	0.726	0.659	0.907	7.668	2.768	0.047	6.275	0.857	0.682	0.769	0.000
31	Cp-10%	138.000	18.000	6.500	0.688	0.624	0.907	7.669	2.768	0.047	6.390	0.835	0.682	0.769	0.000
32	Cp-5% 	138.000	18.000	6.500	0.726	0.702	0.966	7.665	2.769	0.047	6.143	0.865	0.655	0.462	0.000
33	Cp+5% 	138.000	18.000	6.500	0.803	0.776	0.966	7.663	2.769	0.047	5.940	0.907	0.649	0.462	0.000
34	1DR10_TL	138.000	18.000	6.500	0.764	0.641	0.838	7.667	2.769	0.047	6.334	0.883	0.691	0.615	10.000
35	1DR6_TL	138.000	18.000	6.500	0.764	0.676	0.885	7.667	2.769	0.047	6.220	0.883	0.667	0.615	6.000
36	1DR14_TL	138.000	18.000	6.500	0.764	0.602	0.787	7.667	2.769	0.047	6.467	0.883	0.679	0.615	14.000
37	1DR6	138.000	18.000	7.250	0.764	0.681	0.891	7.667	2.483	0.053	5.983	0.883	0.629	0.615	6.000
38	1DR10	138.000	18.000	7.750	0.764	0.657	0.860	7.667	2.323	0.056	5.922	0.883	0.623	0.615	10.000
39	1DR14	138.000	18.000	8.350	0.764	0.634	0.829	7.667	2.156	0.061	5.848	0.883	0.614	0.615	14.000
40	6DR10	138.000	18.000	8.050	0.764	0.681	0.891	7.667	2.236	0.058	5.780	0.890	0.598	0.308	10.000
41	7DR10	138.000	18.000	7.400	0.764	0.623	0.815	7.667	2.432	0.054	6.126	0.874	0.649	0.923	10.000
42	1DR6_DISP	138.000	18.000	6.850	0.771	0.687	0.891	7.667	2.628	0.050	6.081	0.883	0.655	0.615	6.000
43	1DR10_DISP	138.000	18.000	7.100	0.775	0.662	0.853	7.667	2.535	0.051	6.083	0.883	0.639	0.615	10.000
44	1DR14_DISP	138.000	18.000	7.400	0.782	0.637	0.814	7.667	2.432	0.054	6.083	0.883	0.638	0.615	14.000
45	3rdParent	137.941	23.000	6.500	0.610	0.582	0.954	5.998	3.538	0.047	6.026	0.805	0.735	0.615	0.000
46	Cp+	137.941	23.000	6.500	0.671	0.640	0.954	5.998	3.538	0.047	5.837	0.834	0.726	0.615	0.000
47	Cp-	137.941	23.000	6.500	0.549	0.524	0.954	5.998	3.538	0.047	6.241	0.769	0.734	0.615	0.000
48	Cm+	137.941	23.000	6.500	0.610	0.603	0.988	5.998	3.538	0.047	5.955	0.810	0.715	0.308	0.000
49	Cm-	137.941	23.000	6.500	0.610	0.547	0.897	6.005	3.534	0.047	6.152	0.782	0.744	0.923	0.000
50	Cm-1/2	137.941	23.000	6.500	0.610	0.566	0.927	6.000	3.537	0.047	6.081	0.792	0.737	0.769	0.000
51	Cp+1/2	137.941	23.000	6.500	0.641	0.611	0.954	5.998	3.538	0.047	5.928	0.818	0.729	0.615	0.000
52	Cp-1/2	137.941	23.000	6.500	0.580	0.553	0.954	5.998	3.538	0.047	6.129	0.784	0.731	0.615	0.000
